date,sunrise,sunset,daylength,day_length_diff,astro_twilight_start,astro_twilight_end,nautical_twilight_start,nautical_twilight_end,civil_twilight_start,civil_twilight_end,solar_noon_time,solar_noon_distance,temp_mean,temp_min,temp_max,rain_mm,pressure_early,pressure_late,wind_mean,wind_max,wind_dir,sun_hours
2011-12-01,08:18,15:44,07:25:45,−2:37,06:00:00,18:02:00,06:45:00,17:17:00,07:33:00,16:29:00,12:01 12.3,147.52,3.6,0.4,4.6,0,995,1004,4.1,36.0,SSW,2.7
2011-12-02,08:20,15:43,07:23:13,−2:31,06:02:00,18:01:00,06:46:00,17:16:00,07:34:00,16:28:00,12:02 12.2,147.495,2.6,1.5,7.5,5.5,1003,983,6.5,36.0,SSW,1.8
2011-12-03,08:21,15:42,07:20:48,−2:25,06:03:00,18:01:00,06:48:00,17:16:00,07:36:00,16:28:00,12:02 12.0,147.471,2.4,0.4,4.4,6.0 s,986,988,9.5,46.0,SSW,0.75
2011-12-04,08:23,15:41,07:18:29,−2:18,06:04:00,18:00:00,06:49:00,17:15:00,07:37:00,16:27:00,12:02 11.9,147.447,1.6,0.9,0.4,3.7 s,988,992,4.5,22.0,SSW,1.66
2011-12-05,08:24,15:41,07:16:17,−2:12,06:05:00,18:00:00,06:50:00,17:15:00,07:39:00,16:27:00,12:03 11.8,147.425,1.6,4.2,0.2,2.9 s,994,998,2.8,17.0,SSW,1.08
2011-12-06,08:26,15:40,07:14:11,−2:05,06:06:00,18:00:00,06:52:00,17:14:00,07:40:00,16:26:00,12:03 11.6,147.403,2.7,2.8,1.2,5.1 s,998,992,3.7,19.0,WSW,2.92
2011-12-07,08:27,15:40,07:12:12,−1:58,06:07:00,17:59:00,06:53:00,17:14:00,07:41:00,16:26:00,12:04 11.5,147.381,0.2,5.3,3.8,8.6 s,989,1005,6.1,39.0,SSW,0.15
2011-12-08,08:29,15:39,07:10:20,−1:51,06:09:00,17:59:00,06:54:00,17:14:00,07:42:00,16:25:00,12:04 11.4,147.361,2.4,0.8,6.7,14.6,979,981,,62.0,SSW,0.72
2011-12-09,08:30,15:39,07:08:36,−1:44,06:10:00,17:59:00,06:55:00,17:14:00,07:44:00,16:25:00,12:04 11.3,147.342,0.8,0.9,1.4,2.6 s,1000,1007,6.7,34.0,WSW,0.75
2011-12-10,08:31,15:38,07:06:58,−1:37,06:11:00,17:59:00,06:56:00,17:14:00,07:45:00,16:25:00,12:05 11.2,147.323,3.2,8,3.5,0.5 s,1008,1001,1.0,10.0,SSE,1.46
2011-12-11,08:33,15:38,07:05:28,−1:30,06:12:00,17:59:00,06:57:00,17:13:00,07:46:00,16:25:00,12:05 11.1,147.305,0.1,6.2,3.6,0,996,992,2.0,15.0,SSW,2.08
2011-12-12,08:34,15:38,07:04:05,−1:22,06:13:00,17:59:00,06:58:00,17:13:00,07:47:00,16:25:00,12:06 11.1,147.288,0.8,3,5.1,0.2,991,972,8.1,41.0,SSW,3.65
2011-12-13,08:35,15:38,07:02:51,−1:14,06:13:00,17:59:00,06:59:00,17:13:00,07:48:00,16:25:00,12:06 11.0,147.272,1.9,0.1,4.5,6.9,964,960,12.2,41.0,SSW,2.39
2011-12-14,08:36,15:38,07:01:43,−1:07,06:14:00,17:59:00,07:00:00,17:14:00,07:49:00,16:25:00,12:07 10.9,147.257,2.8,0.1,5.7,0.1,972,982,10.8,31.0,SSW,4.44
2011-12-15,08:37,15:38,07:00:44,−0:59,06:15:00,17:59:00,07:01:00,17:14:00,07:50:00,16:25:00,12:07 10.9,147.243,1.3,1.2,2.5,0,989,991,2.2,14.0,SSW,4.8
2011-12-16,08:38,15:38,06:59:53,−0:50,06:16:00,17:59:00,07:02:00,17:14:00,07:51:00,16:25:00,12:08 10.8,147.23,4.9,8.3,0.4,0.9 s,989,1000,0.1,5.0,NNE,0.0
2011-12-17,08:39,15:38,06:59:10,−0:43,06:17:00,18:00:00,07:02:00,17:14:00,07:51:00,16:25:00,12:08 10.8,147.217,3,8.4,0.5,2.3 s,1006,1012,1.2,13.0,S,0.97
2011-12-18,08:39,15:38,06:58:35,−0:34,06:17:00,18:00:00,07:03:00,17:14:00,07:52:00,16:25:00,12:09 10.7,147.205,4.4,7.9,0.3,0.3 s,1015,1014,0.3,7.0,S,0.85
2011-12-19,08:40,15:38,06:58:09,−0:26,06:18:00,18:00:00,07:04:00,17:15:00,07:53:00,16:26:00,12:09 10.7,147.194,3.2,8.9,3.9,4,1007,1002,2.3,22.0,SSW,0.0
2011-12-20,08:41,15:39,06:57:50,−0:18,06:19:00,18:01:00,07:04:00,17:15:00,07:53:00,16:26:00,12:10 10.7,147.184,0.2,4.2,2.2,4.3,1010,1011,3.8,22.0,SSW,0.04
2011-12-21,08:41,15:39,06:57:40,−0:10,06:19:00,18:01:00,07:05:00,17:15:00,07:54:00,16:26:00,12:10 10.7,147.174,4.8,0.1,10.5,1.3,1010,1008,5.8,31.0,SSW,0.03
2011-12-22,08:42,15:40,06:57:38,−0:01,06:20:00,18:02:00,07:05:00,17:16:00,07:55:00,16:27:00,12:11 10.7,147.164,9,1.1,10.5,0.3,1012,1004,11.0,32.0,SSW,0.0
2011-12-23,08:42,15:40,06:57:45,+0:06,06:20:00,18:02:00,07:06:00,17:17:00,07:55:00,16:27:00,12:11 10.7,147.156,4.2,0.2,4.4,0,1007,1014,6.3,33.0,SSW,3.49
2011-12-24,08:43,15:41,06:58:00,+0:14,06:21:00,18:03:00,07:06:00,17:17:00,07:55:00,16:28:00,12:12 10.7,147.147,3.4,0.1,10.8,0.6,1011,1007,10.0,34.0,SSW,1.26
2011-12-25,08:43,15:41,06:58:23,+0:23,06:21:00,18:03:00,07:07:00,17:18:00,07:56:00,16:29:00,12:12 10.7,147.14,7.9,4.1,12.6,0.5,1001,1008,14.3,56.0,SSW,1.39
2011-12-26,08:43,15:42,06:58:54,+0:31,06:21:00,18:04:00,07:07:00,17:19:00,07:56:00,16:29:00,12:13 10.8,147.133,8,8.6,13.1,1.1,1008,1014,14.8,50.0,SSW,0.01
2011-12-27,08:43,15:43,06:59:34,+0:39,06:22:00,18:05:00,07:07:00,17:19:00,07:56:00,16:30:00,12:13 10.8,147.126,2.3,2.1,8.7,2.1,1027,1011,4.5,33.0,SSE,0.0
2011-12-28,08:44,15:44,07:00:22,+0:47,06:22:00,18:06:00,07:07:00,17:20:00,07:56:00,16:31:00,12:14 10.8,147.12,3.8,1.4,6.5,9.1,990,1003,14.5,45.0,SSW,0.11
2011-12-29,08:44,15:45,07:01:18,+0:55,06:22:00,18:06:00,07:08:00,17:21:00,07:57:00,16:32:00,12:14 10.9,147.115,0.6,0.6,2.9,4.1,1003,1008,8.9,28.0,WSW,1.32
2011-12-30,08:44,15:46,07:02:21,+1:03,06:22:00,18:07:00,07:08:00,17:22:00,07:57:00,16:33:00,12:15 11.0,147.11,0.1,2.5,7.1,8.2,1013,999,2.6,23.0,S,
2011-12-31,08:43,15:47,07:03:33,+1:11,06:22:00,18:08:00,07:08:00,17:23:00,07:57:00,16:34:00,12:15 11.0,147.106,5.7,2,10,4,997,988,7.3,28.0,SSW,
2012-01-01,08:43,15:48,07:04:53,+1:19,06:22:00,18:09:00,07:08:00,17:24:00,07:56:00,16:35:00,12:16 11.1,147.102,2.5,3,3.4,0.3,988,991,6.7,30.0,SSW,
2012-01-02,08:43,15:49,07:06:20,+1:27,06:22:00,18:10:00,07:08:00,17:25:00,07:56:00,16:36:00,12:16 11.2,147.1,0.1,0.1,3.4,6.6,960,991,7.8,29.0,SSW,
